Component,File Path,Has Styles,CSS Rules Count,Unique Properties Count
TestThemeHook,TestThemeHook.svelte,False,0,0
FilterToggle,filters/FilterToggle.svelte,True,4,16
FilterGroup,filters/FilterGroup.svelte,True,2,6
ChatInput,chat/ChatInput.svelte,True,9,14
ChatMessage,chat/ChatMessage.svelte,True,21,27
ChatMessages,chat/ChatMessages.svelte,True,1,11
QAChat,chat/QAChat.svelte,True,3,5
ChatDialog,chat/ChatDialog.svelte,True,6,15
Accordion,accordion/Accordion.svelte,True,9,20
AccordionList,accordion/AccordionList.svelte,True,1,3
BasicLayout,layout/BasicLayout.svelte,True,4,12
GridItem,layout/GridItem.svelte,True,2,3
Grid,layout/Grid.svelte,True,1,1
ImageCard,cards/ImageCard.svelte,True,2,10
TextCard,cards/TextCard.svelte,True,4,11
VideoCard,cards/VideoCard.svelte,True,7,31
Link,navigation/Link.svelte,True,7,10
LinkList,navigation/LinkList.svelte,True,4,7
GridLayout,grids/GridLayout.svelte,True,4,6
ProgressIndicator,feedback/ProgressIndicator.svelte,True,9,26
Callout,feedback/Callout.svelte,True,3,18
ProgressToast,feedback/ProgressToast.svelte,True,11,23
RainDrops,marginalia/RainDrops.svelte,False,0,0
Avatar,primitives/Avatar.svelte,True,21,35
Icon,primitives/Icon.svelte,True,2,11
Subheader,primitives/Subheader.svelte,True,3,4
Indicator,primitives/Indicator.svelte,True,4,11
TagList,primitives/TagList.svelte,True,11,7
IconRefresh,primitives/IconRefresh.svelte,False,0,0
Tag,primitives/Tag.svelte,True,3,11
List,primitives/List.svelte,True,14,12
McpText,primitives/McpText.svelte,True,4,19
Weather,snoop/Weather.svelte,True,13,25
WeatherIcon,snoop/WeatherIcon.svelte,False,0,0
WeatherDebugPanel,snoop/WeatherDebugPanel.svelte,True,31,32
IconButton,actions/IconButton.svelte,True,16,13
Button,actions/Button.svelte,True,10,21
GemButton,actions/GemButton.svelte,True,1,2
PromptButton,actions/PromptButton.svelte,True,8,27
CanvasAnimation,graphics/CanvasAnimation.svelte,True,6,10
AnimatedTextPath,graphics/AnimatedTextPath.svelte,True,4,16
AnimatedTextPathSpag,graphics/AnimatedTextPathSpag.svelte,True,4,13
TopNav,top-nav/TopNav.svelte,True,6,8
ChatTrigger,top-nav/ChatTrigger.svelte,True,3,19
VideoTile,media/VideoTile.svelte,True,16,26
Footer,overlays/dialog/Footer.svelte,True,5,14
FooterTitle,layout/footer/FooterTitle.svelte,True,2,10
Experience,accordion/items/Experience.svelte,True,2,7
Introduction,accordion/items/Introduction.svelte,True,2,7
Process,accordion/items/Process.svelte,True,1,6
Details,overlays/dialog/Details.svelte,True,12,22
Intro,overlays/dialog/Intro.svelte,True,2,6
Header,overlays/dialog/Header.svelte,True,1,11
ImageGrid,overlays/dialog/ImageGrid.svelte,True,10,7
Fresha,overlays/dialog/Fresha.svelte,True,1,4
Principles,overlays/dialog/Principles.svelte,True,5,9
Title,overlays/dialog/Title.svelte,True,3,9
Image,overlays/dialog/Image.svelte,True,2,9
Root,overlays/dialog/Root.svelte,True,3,11
Section,overlays/dialog/Section.svelte,True,3,10
Shell,overlays/dialog/Shell.svelte,True,1,4
Prefix,overlays/dialog/Prefix.svelte,True,7,20
AnimatedBackground,overlays/dialog/AnimatedBackground.svelte,True,1,7
Text,overlays/dialog/Text.svelte,True,4,13
TestTwo,experimental/dialog/TestTwo.svelte,True,1,4
TestThree,experimental/dialog/TestThree.svelte,True,1,4
TestOne,experimental/dialog/TestOne.svelte,True,1,4
