Component,-moz-osx-font-smoothing,-ms-overflow-style,-webkit-align-items,-webkit-appearance,-webkit-flex-direction,-webkit-font-smoothing,-webkit-justify-content,-webkit-media-controls,-webkit-media-controls-panel,-webkit-media-controls-play-button,-webkit-media-controls-start-playback-button,-webkit-transform,align-content,align-items,align-self,animation,appearance,aspect-ratio,backdrop-filter,backface-visibility,background,background-color,background-position,background-repeat,background-size,border,border-bottom,border-color,border-radius,border-style,border-width,bottom,box-shadow,box-sizing,clip,color,container-type,content,cursor,display,filter,flex,flex-direction,flex-flow,flex-grow,flex-shrink,flex-wrap,font-family,font-size,font-style,font-weight,gap,grid-area,grid-auto-flow,grid-auto-rows,grid-column,grid-row,grid-template-areas,grid-template-columns,grid-template-rows,height,isolation,justify-content,left,line-height,list-style,margin,margin-bottom,margin-right,margin-top,max-height,max-width,min-height,min-width,mix-blend-mode,object-fit,opacity,outline,outline-offset,overflow,overflow-x,overflow-y,padding,padding-block,padding-bottom,padding-inline,padding-left,padding-right,padding-top,pointer-events,position,resize,right,scrollbar-width,text-align,text-decoration,text-transform,top,transform,transition,transition-delay,transition-duration,transition-property,transition-timing-function,user-select,vertical-align,visibility,white-space,width,will-change,word-wrap,z-index
Accordion,,,,button: none,,,,,,,,,,.wrapper: flex-start | button: center | .label: baseline,,,button: none,,,,,button: var(--bg-page),,,,button: none,button: 1px solid var(--fg-text-primary),,,,,,,,,button: var(--fg-text-primary) | button:hover: var(--fg-text-primary-80) | button:active: var(--fg-text-primary),,,,.wrapper: flex | button: flex | .label: flex | :global(.gsap-char): inline-block | :global(.gsap-space): inline-block,,,.wrapper: column | button: row | .label: row,,.label: 1,,,,button: var(--fs-xxlarge-clamped),,button: var(--fw-semibold),button: 0.5em,,,,,,,,,,,.wrapper: flex-start | button: flex-start | .label: space-between,,,.wrapper: none,,,,,,,,,,,,,,,,,,,button: 0.5em | .details: 1em,,,,button: 0.5em,,:global(.gsap-char): relative,,,,,,.label span:first-child: uppercase,,,,,,,,,,,,button: 100% | .details: 100%,,,
AccordionList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.accordion-list: none,,,,,,,,,,,,,,,,,,,,,.accordion-list: var(--padding-page-default),.accordion-list: var(--padding-page-default),,,,,,,,,,,,,,,,,,,,,,,,
AnimatedBackground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.background-container: 100%,,,.background-container: 0,,,,,,,,,,,,,,,,.background-container: hidden,,,,,,,,,,,.background-container: absolute,,,,,,,.background-container: 0,,,,,,,,,,,.background-container: 100%,,,.background-container: -1
AnimatedTextPath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.sr-only: 0,,,,".sr-only: rect(0, 0, 0, 0)",,,,,.animated-text-path: none,,,,,,,,,,,,,,,,,,,,,.animated-text-path-container: 100vh | .canvas-wrapper: 100% | .sr-only: 1px,,,.canvas-wrapper: 50%,,,.sr-only: -1px,,,,,,,,,,,,,.sr-only: hidden,.animated-text-path-container: hidden,.animated-text-path-container: visible,.sr-only: 0,,,,,,,,.animated-text-path-container: absolute | .canvas-wrapper: absolute | .sr-only: absolute,,,,,,,.animated-text-path-container: 0 | .canvas-wrapper: 0,.canvas-wrapper: translateX(-50%),,,,,,,,,.sr-only: nowrap,.animated-text-path-container: 100% | .canvas-wrapper: 2560px | .sr-only: 1px,,,.animated-text-path-container: -999
AnimatedTextPathSpag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.sr-only: 0,,,,".sr-only: rect(0, 0, 0, 0)",,,,,.animated-text-path: none,,,,,,,,,,,,,,,,,,,,,.animated-text-path-container: 300px | .canvas-wrapper: 100% | .sr-only: 1px,,,.canvas-wrapper: 50%,,,.sr-only: -1px,,,,,,,,,,,,,.animated-text-path-container: visible | .sr-only: hidden,,,.sr-only: 0,,,,,,,,.animated-text-path-container: relative | .canvas-wrapper: absolute | .sr-only: absolute,,,,,,,.canvas-wrapper: 0,.canvas-wrapper: translateX(-50%),,,,,,,,,.sr-only: nowrap,.animated-text-path-container: 100% | .canvas-wrapper: 2560px | .sr-only: 1px,,,
Avatar,,,,,,,,,,,,,,.avatar: center,,.glitch-active .avatar-image: glitch-pulse 2s ease-in-out infinite,,.avatar-xs: 4 / 5 | .avatar-sm: 4 / 5 | .avatar-md: 4 / 5 | .avatar-lg: 4 / 5,,".glitch-red,
  .glitch-green,
  .glitch-blue: hidden | .glitch-active,
  .glitch-active .avatar-image,
  .glitch-red,
  .glitch-green,
  .glitch-blue,
  .glitch-scanlines: hidden",".glitch-scanlines: repeating-linear-gradient(
      0deg,
      transparent,
      transparent 2px,
      rgba(255, 255, 255, 0.05) 2px,
      rgba(255, 255, 255, 0.05) 4px
    )",.avatar: rgba(var(--bg-page) / 0),".avatar-image: top | .glitch-red,
  .glitch-green,
  .glitch-blue: top",".avatar-image: no-repeat | .glitch-red,
  .glitch-green,
  .glitch-blue: no-repeat",".avatar-image: cover | .glitch-red,
  .glitch-green,
  .glitch-blue: cover",.avatar: none,,,".avatar: var(--bdr-radius-small) | .avatar-image: var(--bdr-radius-tiny) | .glitch-red,
  .glitch-green,
  .glitch-blue: var(--bdr-radius-tiny) | .glitch-scanlines: var(--bdr-radius-small)",,,".glitch-red,
  .glitch-green,
  .glitch-blue: 4px",.avatar: inset 0 0 0 1px rgba(var(--fg-text-primary) / 1),,,,.avatar: inline-size,,.avatar-button: pointer | .avatar-button:disabled: not-allowed,".avatar: flex | .avatar-image: flex | .glitch-red,
    .glitch-green,
    .glitch-blue,
    .glitch-scanlines: none !important",".glitch-red: sepia(1) saturate(10) hue-rotate(-60deg) brightness(1.2)
      contrast(1.5) | .glitch-green: sepia(1) saturate(10) hue-rotate(60deg) brightness(1.1)
      contrast(1.3) | .glitch-blue: sepia(1) saturate(10) hue-rotate(180deg) brightness(1.3)
      contrast(1.4)",,,,,,,,,,,,,,,,,,,,.avatar-image: 100% | .glitch-scanlines: 100%,.avatar: isolate,.avatar: center,".glitch-red,
  .glitch-green,
  .glitch-blue: 4px | .glitch-scanlines: 0",,,,,,,,,,,.glitch-red: screen | .glitch-green: screen | .glitch-blue: screen,,".glitch-red,
  .glitch-green,
  .glitch-blue: 0 | .glitch-scanlines: 0 | 0%,
      100%: 1 | 50%: 0.8 | .avatar-button:disabled: 0.5",.avatar-button:focus-visible: var(--focus-ring-width) solid var(--focus-ring-color),.avatar-button:focus-visible: var(--focus-ring-offset),,,,.avatar: 4px,,,,,,,".glitch-red,
  .glitch-green,
  .glitch-blue: none | .glitch-scanlines: none",".avatar: relative | .avatar-image: relative | .glitch-red,
  .glitch-green,
  .glitch-blue: absolute | .glitch-scanlines: absolute",,".glitch-red,
  .glitch-green,
  .glitch-blue: 4px",,,,,".glitch-red,
  .glitch-green,
  .glitch-blue: 4px | .glitch-scanlines: 0",".glitch-red,
  .glitch-green,
  .glitch-blue: translateZ(0) | .glitch-scanlines: translateZ(0) | .avatar-button:hover:not(.glitch-active) .avatar-image: scale(0.98) | .avatar-button:disabled:hover .avatar-image: none | .glitch-active,
  .glitch-active .avatar-image,
  .glitch-red,
  .glitch-green,
  .glitch-blue,
  .glitch-scanlines: translateZ(0)",.avatar: var(--transition-fast) | .avatar-image: var(--transition-fast),,,,,,,,,".avatar-image: 100% | .glitch-scanlines: 100% | .avatar-xs: clamp(24px, 10vw, 80px) | .avatar-sm: clamp(40px, 15vw, 120px) | .avatar-md: clamp(60px, 20vw, 180px) | .avatar-lg: clamp(80px, 25vw, 240px)",".avatar-image: transform, filter | .glitch-red,
  .glitch-green,
  .glitch-blue: transform, opacity | .glitch-scanlines: opacity",,.avatar-image: 1 | .glitch-red: 3 | .glitch-green: 2 | .glitch-blue: 4 | .glitch-scanlines: 10
BasicLayout,,,,,,,,,,,,,,.basic-layout-top-bar: center,,,,,,,,,,,,,,,,,,,,,,,,,,.basic-layout-top-bar: flex,,.basic-layout-main: 1,,,,,,,,,,,,,,,,,,,.basic-layout-side-nav: 100% | .basic-layout-top-bar: 88px | .basic-layout-main: 100%,,,.basic-layout-side-nav: -180px,,,.basic-layout-main: 0 auto,,,,,.basic-layout-top-bar: 568px | .basic-layout-main: 1200px,,,,,,,,,,,,,,,,,.basic-layout-root: var(--spc-500),,.basic-layout-side-nav: absolute | .basic-layout-main: relative,,,,,,,.basic-layout-side-nav: 0,,,,,,,,,,,.basic-layout-side-nav: 180px | .basic-layout-top-bar: 100% | .basic-layout-main: 100%,,,.basic-layout-top-bar: 10
Button,,,,,,,,,,,,,,.btn: center | .btn-layout: center,,,,,,,,.inverse: var(--bg-primary) | .inverse:hover: var(--bg-primary) | .inverse:active: var(--bg-primary) | .primary: var(--bg-page) | .primary:hover: var(--bg-page) | .primary:active: var(--bg-page),,,,.btn: none,,,.btn: var(--bdr-radius-small),,,,.inverse: inset 0 0px 0px 1px var(--bg-primary) | .primary: inset 0 0px 0px 1px var(--bg-inverse),,,.btn: inherit | .inverse: var(--fg-text-inverse) | .primary: var(--fg-text-primary),,,.btn: pointer,.btn: inline-flex | .full-width: inline-flex | .btn-layout: flex,,,,,,.btn: 0,,,.btn: var(--fs-300),,.btn: var(--fw-semibold),.btn-layout: 6px,,,,,,,,,.btn: 44px,,.btn: center | .btn-layout: center,,,,,,,,,,,.btn: max-content,,,,,,,,,,,.btn-layout: 8px,,.btn: 8px | .btn-layout: 12px | .has-icon: 6px,.btn: 8px | .btn-layout: 12px,.btn-layout: 8px,,,,,,,.btn: none,,,,,,,,,,,,,.btn: fit-content | .full-width: 100% | .btn-layout: 100%,,,
Callout,,,,,,,,,,,,,,.callout-root: center,,,,,,,,".callout-Indicator: rgb(143, 239, 0)",,,,.callout-Indicator: 1.5px solid rgb(var(--color-bdr-muted)),,,.callout-Indicator: var(--bdr-radius-pill),,,,.callout-Indicator: inset 0 0 0 2px white,,,.callout-text: rgb(var(--color-txt-muted)),,,,.callout-root: flex,,,.callout-root: row,,,,,.callout-text: var(--font-family-main),.callout-text: var(0--fs-tiny-clamped),,.callout-text: var(--fw-medium),.callout-root: var(--spc-75),,,,,,,,,.callout-Indicator: 12px,,.callout-root: flex-start,,,,,,,,,,,,,,,,,,,,,,.callout-root: var(--spc-75),,.callout-root: var(--spc-50),,.callout-root: var(--spc-75),,,,,,,,,,,,,,,,,,,,.callout-Indicator: 12px,,,
CanvasAnimation,,,,,,,,,,,,,,".canvas-container: center | .loading,
  .error: center",,,,,,,,".canvas-container: rgba(255, 192, 203, 0) | .loading,
  .error: rgba(207, 8, 154, 0)",,,,,,,,,,,,,,,,,.animation-canvas: default | .animation-canvas.clickable: pointer | .animation-canvas.hoverable: pointer,".canvas-container: flex | .animation-canvas: block | .animation-canvas.hidden: none | .loading,
  .error: flex",,,,,,,,,,,,,,,,,,,,,".animation-canvas: 100% | .loading,
  .error: 100%",,".canvas-container: center | .loading,
  .error: center",".loading,
  .error: 0",,,,,,,,,,,,,,,,,,,,,,,,,,,".canvas-container: relative | .loading,
  .error: absolute",,,,,,,".loading,
  .error: 0",,,,,,,,,,,".animation-canvas: 100% | .loading,
  .error: 100%",,,
