Component,Selector,Property,Custom Property Used,Full Value,File Path
FilterToggle,.filter-toggle,font-weight,--fw-semibold,var(--fw-semibold),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,border-radius,--bdr-radius-small,var(--bdr-radius-small),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,box-shadow,--bg-primary,inset 0 0px 0px 1px var(--bg-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,background-color,--bg-pae,var(--bg-pae),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,color,--fg-text-primary,var(--fg-text-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,font-family,--font-family-main,var(--font-family-main),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,font-size,--fs-350,var(--fs-350),filters/FilterToggle.svelte
FilterToggle,.filter-toggle:hover,box-shadow,--bg-primary,inset 0 0px 0px 2px var(--bg-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle.active,box-shadow,--bg-primary,inset 0 0px 0px 4px var(--bg-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle.active,background-color,--bg-primary,var(--bg-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle.active,color,--fg-text-inverse,var(--fg-text-inverse),filters/FilterToggle.svelte
FilterToggle,.filter-toggle.active:hover,box-shadow,--bg-primary,inset 0 0px 0px 2px var(--bg-primary),filters/FilterToggle.svelte
ChatInput,.input-wrapper:focus-within,outline,--focus-ring-color,"2px solid var(--focus-ring-color, var(--bg-primary))",chat/ChatInput.svelte
ChatInput,.input-wrapper:focus-within,outline,--bg-primary,"2px solid var(--focus-ring-color, var(--bg-primary))",chat/ChatInput.svelte
ChatInput,.message-input::placeholder,color,--fg-text-inverse-60,var(--fg-text-inverse-60),chat/ChatInput.svelte
ChatInput,.input-hint,padding-top,--space-md,var(--space-md),chat/ChatInput.svelte
ChatMessage,.message-bubble,background,--bg-primary,var(--bg-primary),chat/ChatMessage.svelte
ChatMessage,.user-bubble,background,--bg-primary,var(--bg-primary),chat/ChatMessage.svelte
ChatMessage,.user-bubble,color,--fg-text-inverse,var(--fg-text-inverse),chat/ChatMessage.svelte
ChatMessage,.user-bubble,border-radius,--bdr-radius-small,"var(--bdr-radius-small) var(--bdr-radius-small) 0px
      var(--bdr-radius-small)",chat/ChatMessage.svelte
ChatMessage,.user-bubble,border-radius,--bdr-radius-small,"var(--bdr-radius-small) var(--bdr-radius-small) 0px
      var(--bdr-radius-small)",chat/ChatMessage.svelte
ChatMessage,.user-bubble,border-radius,--bdr-radius-small,"var(--bdr-radius-small) var(--bdr-radius-small) 0px
      var(--bdr-radius-small)",chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,background,--bg-inverse,var(--bg-inverse),chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,color,--fg-text-primary,var(--fg-text-primary),chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,border-color,--fg-text-primary,var(--fg-text-primary),chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,border-radius,--bdr-radius-small,"var(--bdr-radius-small) var(--bdr-radius-small)
      var(--bdr-radius-small) 0px",chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,border-radius,--bdr-radius-small,"var(--bdr-radius-small) var(--bdr-radius-small)
      var(--bdr-radius-small) 0px",chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,border-radius,--bdr-radius-small,"var(--bdr-radius-small) var(--bdr-radius-small)
      var(--bdr-radius-small) 0px",chat/ChatMessage.svelte
ChatMessage,.message-time,color,--fg-text-primary,var(--fg-text-primary),chat/ChatMessage.svelte
ChatMessage,.user-meta .message-time,color,--fg-text-primary,var(--fg-text-primary),chat/ChatMessage.svelte
ChatMessage,.loading-bubble,background,--bg-page,var(--bg-page),chat/ChatMessage.svelte
ChatMessage,.loading-bubble,color,--fg-text-primary,var(--fg-text-primary),chat/ChatMessage.svelte
ChatMessage,.loading-text,font-family,--font-family-alt,var(--font-family-alt),chat/ChatMessage.svelte
ChatMessage,.loading-text,font-size,--fs-200,var(--fs-200),chat/ChatMessage.svelte
ChatMessage,.error-content,background,--error-bg,"var(--error-bg, #fef2f2)",chat/ChatMessage.svelte
ChatMessage,.error-content,border,--error-border,"1px solid var(--error-border, #fecaca)",chat/ChatMessage.svelte
ChatMessage,.error-title,color,--error-text,"var(--error-text, #dc2626)",chat/ChatMessage.svelte
ChatMessage,.error-details,color,--error-text-secondary,"var(--error-text-secondary, #7f1d1d)",chat/ChatMessage.svelte
ChatDialog,.chat-dialog::backdrop,background,--bg-page-20,var(--bg-page-20),chat/ChatDialog.svelte
Accordion,button,font-size,--fs-xxlarge-clamped,var(--fs-xxlarge-clamped),accordion/Accordion.svelte
Accordion,button,font-weight,--fw-semibold,var(--fw-semibold),accordion/Accordion.svelte
Accordion,button,color,--fg-text-primary,var(--fg-text-primary),accordion/Accordion.svelte
Accordion,button,background-color,--bg-page,var(--bg-page),accordion/Accordion.svelte
Accordion,button,border-bottom,--fg-text-primary,1px solid var(--fg-text-primary),accordion/Accordion.svelte
Accordion,button:hover,color,--fg-text-primary-80,var(--fg-text-primary-80),accordion/Accordion.svelte
Accordion,button:active,color,--fg-text-primary,var(--fg-text-primary),accordion/Accordion.svelte
AccordionList,.accordion-list,padding-left,--padding-page-default,var(--padding-page-default),accordion/AccordionList.svelte
AccordionList,.accordion-list,padding-right,--padding-page-default,var(--padding-page-default),accordion/AccordionList.svelte
BasicLayout,.basic-layout-root,padding-top,--spc-500,var(--spc-500),layout/BasicLayout.svelte
Grid,.grid-container,grid-template-columns,--grid-desktop-columns,var(--grid-desktop-columns),layout/Grid.svelte
TextCard,.text-card,padding-top,--spc-200,var(--spc-200),cards/TextCard.svelte
TextCard,.text-card,padding-left,--spc-300,var(--spc-300),cards/TextCard.svelte
TextCard,.text-card,padding-right,--spc-300,var(--spc-300),cards/TextCard.svelte
TextCard,.text-card,padding-bottom,--spc-300,var(--spc-300),cards/TextCard.svelte
TextCard,h2,color,--color-txt-primary,rgb(var(--color-txt-primary)),cards/TextCard.svelte
TextCard,p,color,--color-txt-primary,rgb(var(--color-txt-primary)),cards/TextCard.svelte
VideoCard,.video-card,padding-top,--spc-200,var(--spc-200),cards/VideoCard.svelte
VideoCard,.video-card,padding-left,--spc-300,var(--spc-300),cards/VideoCard.svelte
VideoCard,.video-card,padding-right,--spc-300,var(--spc-300),cards/VideoCard.svelte
VideoCard,.video-card,padding-bottom,--spc-300,var(--spc-300),cards/VideoCard.svelte
Link,.primary,background-color,--primary-color,"var(--primary-color, #3b82f6)",navigation/Link.svelte
Link,.primary:hover:not(.disabled),background-color,--primary-hover-color,"var(--primary-hover-color, #2563eb)",navigation/Link.svelte
Link,.secondary,color,--text-color,"var(--text-color, #374151)",navigation/Link.svelte
Link,.secondary:hover:not(.disabled),background-color,--secondary-hover-color,"var(--secondary-hover-color, #f3f4f6)",navigation/Link.svelte
LinkList,ul,font-weight,--fw-semibold,var(--fw-semibold),navigation/LinkList.svelte
LinkList,.nav-link,color,--fg-text-primary-60,var(--fg-text-primary-60),navigation/LinkList.svelte
LinkList,.nav-link:hover,color,--fg-text-primary,var(--fg-text-primary),navigation/LinkList.svelte
LinkList,.nav-link.active,color,--fg-text-primary,var(--fg-text-primary),navigation/LinkList.svelte
GridLayout,.grid,grid-template-columns,--columns,"repeat(var(--columns), 1fr)",grids/GridLayout.svelte
GridLayout,.grid-item,border-radius,--bdr-radius-small,var(--bdr-radius-small),grids/GridLayout.svelte
GridLayout,.grid-item.desktop-spans,grid-column,--grid-cols,span var(--grid-cols),grids/GridLayout.svelte
