Component,Selector,Property,Value,File Path
FilterToggle,.filter-toggle,display,inline-flex,filters/FilterToggle.svelte
FilterToggle,.filter-toggle,align-items,center,filters/FilterToggle.svelte
FilterToggle,.filter-toggle,padding,6px 10px,filters/FilterToggle.svelte
FilterToggle,.filter-toggle,font-weight,var(--fw-semibold),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,border-radius,var(--bdr-radius-small),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,border,none,filters/FilterToggle.svelte
FilterToggle,.filter-toggle,box-shadow,inset 0 0px 0px 1px var(--bg-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,background-color,var(--bg-pae),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,color,var(--fg-text-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,cursor,pointer,filters/FilterToggle.svelte
FilterToggle,.filter-toggle,white-space,nowrap,filters/FilterToggle.svelte
FilterToggle,.filter-toggle,user-select,none,filters/FilterToggle.svelte
FilterToggle,.filter-toggle,font-family,var(--font-family-main),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,font-size,var(--fs-350),filters/FilterToggle.svelte
FilterToggle,.filter-toggle,text-transform,capitalize,filters/FilterToggle.svelte
FilterToggle,.filter-toggle,transition,all 0.2s ease-in-out,filters/FilterToggle.svelte
FilterToggle,.filter-toggle:hover,box-shadow,inset 0 0px 0px 2px var(--bg-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle.active,box-shadow,inset 0 0px 0px 4px var(--bg-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle.active,background-color,var(--bg-primary),filters/FilterToggle.svelte
FilterToggle,.filter-toggle.active,color,var(--fg-text-inverse),filters/FilterToggle.svelte
FilterToggle,.filter-toggle.active:hover,box-shadow,inset 0 0px 0px 2px var(--bg-primary),filters/FilterToggle.svelte
FilterGroup,.filter-group,overflow-x,auto,filters/FilterGroup.svelte
FilterGroup,.filter-group,flex-wrap,wrap,filters/FilterGroup.svelte
FilterGroup,.filter-group,padding-bottom,1.5rem,filters/FilterGroup.svelte
FilterGroup,.filter-group,scrollbar-width,none,filters/FilterGroup.svelte
FilterGroup,.filter-group,-ms-overflow-style,none,filters/FilterGroup.svelte
FilterGroup,.filter-group::-webkit-scrollbar,display,none,filters/FilterGroup.svelte
ChatInput,.input-container,padding-left,1rem,chat/ChatInput.svelte
ChatInput,.input-container,padding-right,1rem,chat/ChatInput.svelte
ChatInput,.input-container,padding-bottom,1.5rem,chat/ChatInput.svelte
ChatInput,.input-form,width,100%,chat/ChatInput.svelte
ChatInput,.input-wrapper,padding,0.625rem 0.875rem,chat/ChatInput.svelte
ChatInput,.input-wrapper,min-height,44px,chat/ChatInput.svelte
ChatInput,.input-wrapper:focus-within,outline,"2px solid var(--focus-ring-color, var(--bg-primary))",chat/ChatInput.svelte
ChatInput,.input-wrapper:focus-within,outline-offset,2px,chat/ChatInput.svelte
ChatInput,.message-input,font-size,"max(16px, 0.875rem)",chat/ChatInput.svelte
ChatInput,.message-input::placeholder,color,var(--fg-text-inverse-60),chat/ChatInput.svelte
ChatInput,.message-input:disabled,opacity,0.6,chat/ChatInput.svelte
ChatInput,.message-input:disabled,cursor,not-allowed,chat/ChatInput.svelte
ChatInput,.input-hint,padding-top,var(--space-md),chat/ChatInput.svelte
ChatInput,.input-hint,text-align,center,chat/ChatInput.svelte
ChatInput,.hint-text,font-size,0.6875rem,chat/ChatInput.svelte
ChatMessage,.message,display,flex,chat/ChatMessage.svelte
ChatMessage,.message,gap,0.75rem,chat/ChatMessage.svelte
ChatMessage,.message,padding,0.75rem 1.5rem,chat/ChatMessage.svelte
ChatMessage,.message,align-items,flex-start,chat/ChatMessage.svelte
ChatMessage,.message,justify-content,flex-start,chat/ChatMessage.svelte
ChatMessage,.user-message,flex-direction,row-reverse,chat/ChatMessage.svelte
ChatMessage,.user-content,display,flex,chat/ChatMessage.svelte
ChatMessage,.user-content,flex-direction,column,chat/ChatMessage.svelte
ChatMessage,.user-content,align-items,flex-end,chat/ChatMessage.svelte
ChatMessage,.message-avatar,display,flex,chat/ChatMessage.svelte
ChatMessage,.message-avatar,align-items,center,chat/ChatMessage.svelte
ChatMessage,.message-avatar,justify-content,center,chat/ChatMessage.svelte
ChatMessage,.message-avatar,flex-shrink,0,chat/ChatMessage.svelte
ChatMessage,.message-content,flex,1,chat/ChatMessage.svelte
ChatMessage,.message-content,max-width,calc(100% - 50px),chat/ChatMessage.svelte
ChatMessage,.message-bubble,background,var(--bg-primary),chat/ChatMessage.svelte
ChatMessage,.message-bubble,border-radius,18px,chat/ChatMessage.svelte
ChatMessage,.message-bubble,padding,0.75rem 1rem,chat/ChatMessage.svelte
ChatMessage,.message-bubble,max-width,100%,chat/ChatMessage.svelte
ChatMessage,.message-bubble,word-wrap,break-word,chat/ChatMessage.svelte
ChatMessage,.message-bubble,position,relative,chat/ChatMessage.svelte
ChatMessage,.user-bubble,background,var(--bg-primary),chat/ChatMessage.svelte
ChatMessage,.user-bubble,color,var(--fg-text-inverse),chat/ChatMessage.svelte
ChatMessage,.user-bubble,border-radius,"var(--bdr-radius-small) var(--bdr-radius-small) 0px
      var(--bdr-radius-small)",chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,background,var(--bg-inverse),chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,color,var(--fg-text-primary),chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,border-color,var(--fg-text-primary),chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,border-style,solid,chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,border-width,1px,chat/ChatMessage.svelte
ChatMessage,.assistant-bubble,border-radius,"var(--bdr-radius-small) var(--bdr-radius-small)
      var(--bdr-radius-small) 0px",chat/ChatMessage.svelte
ChatMessage,.message-bubble p,margin,0,chat/ChatMessage.svelte
ChatMessage,.message-bubble p,line-height,130%,chat/ChatMessage.svelte
ChatMessage,.message-bubble p,font-size,1.2rem,chat/ChatMessage.svelte
ChatMessage,.message-meta,margin-top,0.25rem,chat/ChatMessage.svelte
ChatMessage,.message-meta,padding,0 0.25rem,chat/ChatMessage.svelte
ChatMessage,.message-time,font-size,0.75rem,chat/ChatMessage.svelte
ChatMessage,.message-time,color,var(--fg-text-primary),chat/ChatMessage.svelte
ChatMessage,.message-time,opacity,0.7,chat/ChatMessage.svelte
ChatMessage,.user-meta .message-time,color,var(--fg-text-primary),chat/ChatMessage.svelte
